Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2645,Pro Evolution Soccer 2016,10,2015,1,21,0.13,0.42,0.13,0.1,0.78
2646,Worms: Open Warfare,13,2006,6,THQ,0.11,0.43,0,0.24,0.78
2647,Star Wars Battlefront: Elite Squadron,13,2009,11,27,0.38,0.24,0,0.16,0.78
2648,UFC Personal Trainer: The Ultimate Fit2s System,8,2011,1,THQ,0.53,0.19,0,0.06,0.78
2649,Resident Evil: Operation Raccoon City,8,2012,5,25,0.55,0.15,0.03,0.06,0.78
2650,NBA 2K7,4,2006,1,26,0.65,0.02,0,0.11,0.78
2651,Need for Speed: ProStreet,13,2008,22,0.24,0.33,0.01,0.2,0.78
2652,Toy Story 3: The Video Game,8,2010,5,29,0.41,0.29,0,0.07,0.78
2653,Torneko no Daibouken: Fushigi no Dungeon,7,1993,4,ChunSoft,0,0,0.78,0,0.78
2654,Jr. Pac-Man,2600,1983,3,32,0.72,0.05,0,0.01,0.78
2655,James Bond 007: Nightfire,GC,2002,23,0.6,0.16,0,0.02,0.78
2656,Banjo-Kazooie: Nuts & Bolts,8,2008,2,28,0.32,0.36,0,0.09,0.78
2657,NBA ShootOut 98,PS,1998,1,20,0.43,0.29,0,0.05,0.78
2658,Avatar: The Game,8,2009,5,35,0.34,0.35,0,0.08,0.78
2659,Harry Potter and the Half-Blood Prince,1,2009,5,34,0.28,0.4,0,0.09,0.77
2660,DJ Hero,1,2009,Misc,18,0.47,0.23,0,0.07,0.77
2661,Perfect Dark Zero,8,2005,11,28,0.66,0.02,0.03,0.06,0.77
2662,Galaxian,2600,1982,11,32,0.72,0.05,0,0.01,0.77
2663,Andretti Racing,PS,1996,22,0.43,0.29,0,0.05,0.77
2664,Caesars Palace 2000: Millennium Gold Edition,PS,2000,Misc,Interplay,0.43,0.29,0,0.05,0.77
2665,Madden NFL 25,XOne,2013,1,34,0.67,0.05,0,0.05,0.77
2666,Air Raid,2600,1981,5,Men-A-Vision,0.72,0.04,0,0.01,0.77
2667,Need For Speed: Undercover,13,2008,22,0.23,0.32,0.03,0.19,0.77
2668,Duke Nukem Forever,6,2011,11,26,0.33,0.31,0,0.12,0.77
2669,Freedom Wars,11,2014,4,20,0.22,0.14,0.32,0.1,0.77
2670,Marvel Nemesis: Rise of the Imperfects,4,2005,Fighting,34,0.64,0.02,0,0.1,0.77
2671,Boxing,2600,1980,Fighting,18,0.72,0.04,0,0.01,0.77
2672,Need for Speed: Porsche Unleashed,PS,1999,22,0.43,0.29,0,0.05,0.77
2673,Dragon Ball: Raging Blast,6,2009,Fighting,9,0.37,0.19,0.11,0.1,0.77
2674,Crystal Castles,2600,1983,5,32,0.72,0.04,0,0.01,0.77
2675,Conker's Bad Fur Day,N64,2001,2,THQ,0.53,0.22,0,0.02,0.77
2676,Dragon Warrior I&II,3,1999,4,Enix Corporation,0,0,0.77,0,0.77
2677,Star Wars Episode II: Attack of the Clo2,9,2002,5,THQ,0.55,0.2,0,0.01,0.77
2678,My Baby Girl,DS,2008,Simulation,Nobilis,0.61,0.1,0,0.06,0.77
2679,LEGO Batman 2: DC Super Heroes,DS,2012,5,24,0.43,0.27,0,0.06,0.77
2680,Twisted Metal: Head On,13,2005,5,20,0.71,0,0,0.06,0.77
2681,Conflict: Desert Storm II - Back to Bagdhad,4,2003,11,SCi,0.38,0.29,0,0.1,0.77
2682,Maximo: Ghosts to Glory,4,2001,2,25,0.38,0.29,0,0.1,0.77
2683,Pokemon Dash,DS,2004,Racing,1,0.21,0.14,0.38,0.04,0.77
2684,Donkey Kong Country 3,9,2005,2,1,0.45,0.17,0.14,0.01,0.77
2685,All-Star Baseball 2003,4,2002,1,31,0.38,0.29,0,0.1,0.77
2686,Unlimited Saga,4,2002,4,32,0.1,0.08,0.56,0.03,0.77
2687,Cabela's Deer Hunt: 2004 Season,4,2003,1,18 Value,0.37,0.29,0,0.1,0.76
2688,Sonic Unleashed,4,2008,2,12,0.37,0.04,0,0.36,0.76
2689,Formula 1,PS,1996,Racing,Psygnosis,0.18,0.12,0.42,0.05,0.76
2690,Plants vs. Zombies: Garden Warfare,6,2014,23,0.22,0.4,0.01,0.14,0.76
2691,Raving Rabbids: Travel in Time,1,2010,Adventure,35,0.22,0.47,0,0.08,0.76
2692,The Sims 3,5,2011,Simulation,34,0.3,0.37,0.03,0.07,0.76
2693,Driv3r,XB,2004,Racing,32,0.36,0.38,0,0.03,0.76
2694,Mercenaries: Playground of Destruction,4,2005,5,27,0.64,0.02,0,0.1,0.76
2695,MTV Celebrity Deathmatch,4,2003,Fighting,Gotham Games,0.37,0.29,0,0.1,0.76
2696,Street Fighter Alpha: Warriors' Dreams,PS,1995,Fighting,7,0.17,0.11,0.43,0.05,0.76
2697,Mortal Kombat,11,2012,Fighting,24,0.47,0.18,0,0.12,0.76
2698,ISS Pro Evolution,PS,1998,1,21,0,0,0.71,0.05,0.76
2699,Lost Planet 2,8,2010,11,25,0.38,0.24,0.08,0.06,0.76
2700,SoulCalibur V,6,2012,Fighting,9,0.35,0.24,0.07,0.1,0.76
2701,Portal 2,PC,2011,11,Valve Software,0.33,0.32,0,0.11,0.76
2702,Super Monkey Ball: Touch & Roll,DS,2005,Misc,12,0.7,0.01,0,0.06,0.76
2703,Pro Evolution Soccer 2015,10,2014,1,21,0.09,0.43,0.11,0.13,0.76
2704,Drawn to Life: The Next Chapter,1,2009,3,THQ,0.29,0.39,0,0.08,0.76
2705,The Lord of the Rings: Conquest,6,2009,5,34,0.38,0.26,0,0.12,0.76
2706,Final Fantasy II,2,1988,4,SquareSoft,0,0,0.76,0,0.76
2707,Tony Hawk's Pro Skater 2,N64,2001,1,18,0.59,0.16,0,0.01,0.76
2708,Taiko no Tatsujin: Tatakon de Dodon ga Don,4,2002,Misc,9,0,0,0.76,0,0.76
2709,Mega Man Battle Network 6: Cybeast Falzar / Gregar,9,2005,4,25,0.09,0.03,0.62,0.02,0.76
2710,Syphon Filter: The Omega Strain,4,2004,11,20,0.37,0.29,0,0.1,0.76
2711,FIFA Soccer 11,4,2010,1,34,0.11,0.29,0,0.36,0.76
2712,Deer Drive,1,2009,1,Big Ben Interactive,0.67,0.04,0,0.05,0.76
2713,Kane & Lynch: Dead Men,8,2007,11,Eidos Interactive,0.36,0.31,0.01,0.08,0.76
2714,Assassin's Creed: Revelations,PC,2011,5,35,0.14,0.48,0,0.14,0.76
2715,Mortal Kombat: Deception,XB,2004,Fighting,30,0.61,0.12,0,0.03,0.76
2716,Ace Attorney Investigations: Miles Edgeworth,DS,2009,Adventure,25,0.27,0.15,0.3,0.04,0.76
2717,That's So Raven,9,2004,Adventure,29,0.54,0.2,0,0.01,0.76
2718,FIFA 15,1,2014,1,34,0.24,0.46,0,0.06,0.76
2719,Marvel vs. 25 2: New Age of Heroes,4,2002,Fighting,25,0.31,0.24,0.13,0.08,0.76
2720,Need for Speed: Shift,13,2009,22,0.16,0.38,0.01,0.21,0.76
2721,Kane & Lynch: Dead Men,6,2007,11,Eidos Interactive,0.29,0.32,0.01,0.13,0.76
2722,Dark Souls II,8,2014,4,9,0.48,0.2,0.01,0.06,0.76
2723,True Crime: New York City,4,2005,5,18,0.57,0.02,0.07,0.09,0.76
2724,Legends of Wrestling,4,2001,Fighting,31,0.37,0.29,0,0.1,0.76
2725,Rockstar Games presents Table Tennis,8,2006,1,26,0.28,0.39,0,0.09,0.76
2726,Monopoly Streets,1,2010,Misc,34,0.24,0.44,0,0.08,0.76
2727,Genji: Days of the Blade,6,2006,5,20,0.18,0.38,0.06,0.14,0.76
2728,Harvest Moon: Animal Parade,1,2008,Simulation,Rising Star Games,0.6,0.09,0.02,0.05,0.76
2729,Final Fantasy Legend III,3,1991,4,SquareSoft,0,0,0.76,0,0.76
2730,Total War: Rome II,PC,2013,6,12,0.12,0.53,0,0.11,0.76
2731,Rare Replay,XOne,2015,Misc,28,0.47,0.21,0.01,0.07,0.75
2732,Spectrobes,DS,2007,4,29,0.67,0.03,0,0.06,0.75
2733,Wall-E,4,2008,2,THQ,0.21,0,0,0.54,0.75
2734,WWE SmackDown vs. Raw 2009,13,2008,Fighting,THQ,0.41,0.21,0,0.14,0.75
2735,Band Hero,6,2009,Misc,18,0.41,0.24,0,0.11,0.75
2736,Mega Man X5,PS,2000,2,25,0.3,0.21,0.2,0.05,0.75
2737,Tearaway,11,2013,Adventure,17,0.17,0.39,0,0.19,0.75
2738,DJ Hero 2,6,2010,Misc,18,0.47,0.19,0,0.09,0.75
2739,The Godfather II,6,2009,5,34,0.41,0.22,0.01,0.11,0.75
2740,WWE SmackDown vs. Raw 2010,1,2009,Fighting,THQ,0.51,0.17,0,0.07,0.75
2741,Turok,8,2008,5,Touchstone,0.46,0.21,0.01,0.07,0.75
2742,[Prototype 2],6,2012,5,18,0.36,0.28,0,0.11,0.75
2743,Shark Tale,4,2004,5,18,0.37,0.29,0,0.1,0.75
2744,San Francisco Rush: Extreme Racing,N64,1997,Racing,GT Interactive,0.63,0.11,0,0.01,0.75
2745,The Amazing Spider-Man (Console Version),8,2012,5,18,0.43,0.26,0,0.06,0.75
2746,Zone of the Enders,4,2001,11,21,0.3,0.24,0.13,0.08,0.75
2747,Red F5: Guerrilla,6,2009,11,THQ,0.33,0.28,0.02,0.12,0.75
2748,Street Fighter EX Plus Alpha,PS,1997,Fighting,7,0.28,0.19,0.23,0.05,0.75
2749,Madden NFL 06,13,2005,1,34,0.69,0,0,0.06,0.75
2750,Coded Arms,13,2005,11,21,0.28,0.29,0,0.18,0.75
2751,Tony Hawk's Underground 2,XB,2004,1,18,0.48,0.24,0,0.03,0.75
2752,Tales of Vesperia,8,2008,4,32,0.32,0.18,0.19,0.05,0.75
2753,X-Men Origins: Wolverine - Uncaged Edition,6,2009,5,18,0.31,0.32,0,0.13,0.75
2754,Madagascar: Escape 2 Africa,DS,2008,5,18,0.42,0.26,0,0.07,0.75
2755,Split/Second,6,2010,Racing,29,0.31,0.31,0.01,0.12,0.75
2756,25 vs. SNK 2: Mark of the Millennium 2001,4,2001,Fighting,25,0.22,0.17,0.3,0.06,0.75
2757,MVP 06 NCAA Baseball,4,2006,1,34,0.62,0.02,0,0.1,0.75
2758,Just Dance 2015,1U,2014,Misc,35,0.4,0.28,0,0.07,0.75
2759,Borderlands: The Pre-Sequel,8,2014,11,26,0.46,0.22,0.01,0.06,0.75
2760,LittleBigPlanet 3,6,2014,2,20,0.2,0.43,0.01,0.11,0.75
2761,Marvel: Ultimate Alliance 2,6,2009,4,18,0.49,0.16,0,0.09,0.75
2762,12 Superstars Tennis,DS,2008,1,12,0.29,0.37,0,0.08,0.75
2763,The Walking Dead: Season One,8,2012,Adventure,Avanquest Software,0.55,0.14,0,0.05,0.75
2764,Ace Combat: Assault Horizon,6,2011,5,9,0.3,0.16,0.22,0.07,0.74
2765,Jump Ultimate Stars,DS,2006,Fighting,1,0,0,0.74,0,0.74
2766,Jampack Summer 2001,4,2001,Misc,20,0.36,0.28,0,0.1,0.74
2767,Resonance of Fate,6,2010,4,12,0.2,0.22,0.24,0.09,0.74
2768,Burnout,4,2001,Racing,31,0.36,0.28,0,0.1,0.74
2769,Tom Clancy's Rainbow Six: Vegas,13,2007,11,35,0.42,0.19,0,0.14,0.74
2770,Final Fantasy XIII-2,8,2011,4,33,0.36,0.3,0.02,0.06,0.74
2771,LEGO Batman 2: DC Super Heroes,5,2012,5,24,0.41,0.27,0,0.06,0.74
2772,Mortal Kombat: Unchained,13,2006,Fighting,30,0.67,0.01,0,0.06,0.74
2773,Mario & Luigi: Paper Jam,5,2015,4,1,0.16,0.3,0.25,0.04,0.74
2774,Yu-Gi-Oh! Dungeon Dice Monsters,9,2001,Misc,21,0.42,0.16,0.15,0.01,0.74
2775,Brink,6,2011,11,Bethesda Softworks,0.29,0.32,0.01,0.12,0.74
2776,LEGO Marvel Super Heroes,1U,2013,5,24,0.31,0.35,0.02,0.06,0.74
2777,Blur,6,2010,Racing,18,0.22,0.37,0.02,0.13,0.74
2778,Madden NFL 11,1,N/A,1,Unknown,0.7,0,0,0.05,0.74
2779,Namco Museum Remix,1,2007,Misc,32,0.68,0,0,0.05,0.74
2780,Midnight Club 3: DUB Edition,XB,2005,Racing,26,0.61,0.1,0,0.03,0.74
2781,Crysis 2,PC,2011,5,34,0.16,0.45,0,0.13,0.74
2782,The Lord of the Rings: The Two Towers,9,2002,5,34,0.53,0.2,0,0.01,0.74
2783,Tiger Woods PGA Tour 2001,4,2001,1,34,0.36,0.28,0,0.09,0.74
2784,Indiana Jo2 and the Staff of Kings,1,2009,5,18,0.36,0.3,0,0.08,0.74
2785,Jet Moto 3,PS,1999,Racing,20,0.41,0.28,0,0.05,0.74
2786,Naruto Shippuden: Ultimate Ninja Storm Generations,6,2012,Fighting,9,0.27,0.25,0.14,0.08,0.74
2787,Unreal Championship,XB,2002,11,32,0.59,0.12,0,0.03,0.74
2788,WarioWare: Twisted!,9,N/A,3,Unknown,0.16,0.06,0.5,0.02,0.74
2789,Pirates of the Caribbean: At World's End,6,2007,5,29,0.17,0.41,0,0.15,0.74
2790,Tiger Woods PGA Tour 08,6,2007,1,34,0.22,0.38,0,0.14,0.74
2791,Persona 4: Arena,6,2012,Fighting,Atlus,0.3,0.12,0.24,0.07,0.74
2792,Sword of Mana,9,2003,4,1,0.31,0.11,0.3,0.02,0.74
2793,Harvest Moon DS: Island of Happi2s,DS,2007,Simulation,Rising Star Games,0.44,0.01,0.25,0.04,0.74
2794,Star Ocean: The Last Hope International,6,2010,4,33,0.28,0.16,0.22,0.08,0.73
2795,The Sims 2: Castaway,DS,2007,Simulation,34,0.63,0.05,0,0.06,0.73
2796,FIFA: Road to World Cup 98,PS,1997,1,34,0.14,0.09,0.46,0.05,0.73
2797,Dragon Ball Z: Ultime Menace,7,1993,Fighting,9,0,0,0.73,0,0.73
2798,Classic 2 Series: Donkey Kong,9,2004,2,1,0.4,0.15,0.17,0.01,0.73
2799,Call of Duty: Ghosts,PC,2013,11,18,0.23,0.41,0,0.09,0.73
2800,Yoshi,3,1991,3,1,0,0,0.73,0,0.73
2801,Mortal Kombat 4,N64,1998,Fighting,GT Interactive,0.55,0.17,0,0.01,0.73
2802,F1 2011,8,2011,Racing,13,0.11,0.51,0.01,0.09,0.73
2803,Madden NFL 10,1,2009,1,34,0.63,0.04,0,0.06,0.73
2804,Kirby: Canvas Curse,DS,2005,2,1,0.37,0,0.32,0.04,0.73
2805,Croc 2,PS,1999,2,Fox Interactive,0.41,0.28,0,0.05,0.73
2806,Practise English!,DS,2007,Misc,1,0,0,0.73,0,0.73
2807,Oddworld: Munch's Oddysee,XB,2001,2,32,0.54,0.16,0,0.03,0.73
2808,Berzerk,2600,1981,11,32,0.68,0.04,0,0.01,0.73
2809,NHL 11,8,2010,1,34,0.61,0.07,0,0.05,0.73
2810,Dragon Age: Inquisition,PC,2014,4,34,0.32,0.34,0,0.07,0.73
2811,iCarly,DS,2009,Adventure,18,0.67,0.01,0,0.05,0.73
2812,DiRT 3,8,2011,Racing,13,0.23,0.41,0.01,0.08,0.73
2813,NCAA Football 07,8,2006,1,34,0.67,0,0,0.06,0.73
2814,Just Dance 1,1,2011,Misc,1,0,0,0.73,0,0.73
2815,Full Spectrum Warrior,XB,2004,6,THQ,0.54,0.16,0,0.03,0.73
2816,Katamari Damacy,4,2004,3,9,0.47,0.02,0.17,0.08,0.73
2817,Beyblade VForce: Ultimate Blader Jam,9,2003,5,32,0.52,0.19,0,0.01,0.73
2818,Ratchet & Clank Collection,6,2012,5,20,0.47,0.14,0.02,0.09,0.73
2819,Avatar: The Game,1,2009,5,35,0.33,0.32,0,0.08,0.73
2820,Shaun Palmer's Pro Snowboarder,4,2001,1,13,0.36,0.28,0,0.09,0.73
2821,MX vs. ATV Reflex,8,2009,Racing,THQ,0.52,0.15,0,0.06,0.73
2822,Imagine: Interior Designer,DS,2008,Simulation,35,0.34,0.31,0,0.08,0.73
2823,SSX,8,2012,1,34,0.38,0.28,0,0.06,0.72
2824,Style Savvy: Trendsetters,5,2012,Simulation,1,0.16,0.02,0.53,0.01,0.72
2825,James Bond 007: Agent Under Fire,GC,2002,23,0.56,0.15,0,0.02,0.72
2826,XCOM: Enemy Unknown,PC,2012,6,26,0.26,0.36,0,0.1,0.72
2827,Rabbids Go Home,DS,2009,2,35,0.35,0.3,0,0.07,0.72
2828,Star Wars Episode III: Revenge of the Sith,9,2005,5,35,0.52,0.19,0,0.01,0.72
2829,Ultimate Spider-Man,4,2005,5,18,0.6,0.02,0,0.1,0.72
2830,FIFA Soccer 13,1,2012,5,34,0.19,0.46,0,0.08,0.72
2831,God Eater,13,2010,5,Unknown,0,0,0.72,0,0.72
2832,Final Fantasy XIV: A Realm Reborn,10,2014,4,33,0.32,0.22,0.08,0.1,0.72
2833,SD Gundam G Generation,PS,1998,6,9,0,0,0.67,0.05,0.72
2834,Area 51,PS,1996,11,GT Interactive,0.4,0.27,0,0.05,0.72
2835,NBA Live 08,4,2007,1,34,0.59,0.02,0.01,0.1,0.72
2836,Dead to Rights,XB,2002,23,0.53,0.17,0,0.03,0.72
2837,Tiger Woods PGA Tour 07,4,2006,1,34,0.6,0.02,0,0.1,0.72
2838,Test Drive 6,PS,1999,Racing,32,0.4,0.27,0,0.05,0.72
2839,Kouchuu Ouja Mushi King,9,2005,5,12,0,0,0.7,0.02,0.72
2840,LEGO Harry Potter: Years 5-7,DS,N/A,5,24,0.35,0.3,0,0.07,0.72
2841,Major League Baseball 2K7,8,2007,1,Spike,0.67,0,0,0.05,0.72
2842,X-Men: Mutant Academy 2,PS,2001,Fighting,18,0.4,0.27,0,0.05,0.72
2843,Terraria,8,2013,5,505 Games,0.35,0.31,0,0.06,0.72
2844,Jampack Winter 2001,4,2001,Misc,20,0.35,0.28,0,0.09,0.72
2845,Kangaroo,2600,1982,2,32,0.67,0.04,0,0.01,0.72
2846,James Bond 007: Blood Stone,6,2010,11,18,0.18,0.38,0.02,0.13,0.72
2847,Ben 10: Protector of Earth,13,2007,5,D3Publisher,0.23,0.31,0,0.18,0.72
2848,Skate,8,2007,1,34,0.62,0.04,0,0.06,0.72
2849,Super Monkey Ball Jr.,9,2002,3,32,0.51,0.19,0,0.01,0.72
2850,Driver: San Francisco,8,2011,Racing,35,0.25,0.39,0,0.08,0.72
2851,MLB 09: The Show,6,2009,1,20,0.66,0,0,0.05,0.72
2852,Monster Hunter Tri,1U,2012,4,1,0.26,0.19,0.22,0.04,0.72
2853,Mobile Suit Gundam: Encounters in Space,4,2003,Simulation,9,0.05,0.04,0.61,0.01,0.72
2854,Catherine,6,2011,Adventure,8,0.3,0.15,0.2,0.07,0.72
2855,Fear Effect,PS,1998,5,Eidos Interactive,0.4,0.27,0,0.05,0.72
2856,FIFA Soccer 11,DS,2010,1,34,0.13,0.5,0,0.09,0.72
2857,Crysis,PC,2007,23,0,0.69,0,0.03,0.72
2858,Battlefield: Bad Company 2,PC,2010,23,0.19,0.53,0,0,0.71
2859,The Lord of the Rings: The Two Towers,XB,2002,5,34,0.45,0.24,0,0.03,0.71
2860,Madden NFL 2003,XB,2002,1,34,0.67,0.02,0,0.03,0.71
2861,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,1,2007,4,33,0.18,0.01,0.5,0.02,0.71
2862,MLB 13: The Show,6,2013,1,20,0.66,0,0,0.05,0.71
2863,Omerta: City of Gangsters,8,2011,Simulation,21,0.42,0.23,0,0.06,0.71
2864,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,10,2015,5,33,0.16,0.13,0.37,0.06,0.71
2865,Virtua Fighter 4: Evolution,4,2003,Fighting,12,0.35,0.27,0,0.09,0.71
2866,Top Spin 4,6,2011,1,26,0.17,0.4,0,0.14,0.71
2867,Resident Evil: Survivor,PS,2000,5,Eidos Interactive,0.23,0.15,0.29,0.05,0.71
2868,Dynasty Warriors 6,6,2007,5,16,0.18,0.08,0.41,0.04,0.71
2869,Super Trucks Racing,4,2002,Racing,Jester Interactive,0.35,0.27,0,0.09,0.71
2870,Persona Q: Shadow of the Labyrinth,5,2014,4,15,0.33,0.07,0.27,0.04,0.71
2871,Madden NFL 08,13,2007,1,34,0.6,0.04,0,0.07,0.71
2872,Godzilla: Destroy All Monsters Melee,GC,2002,Fighting,32,0.55,0.14,0,0.02,0.71
2873,Jeremy McGrath Supercross 2000,PS,2000,Racing,31,0.4,0.27,0,0.05,0.71
2874,Conker: Live And Reloaded,XB,2005,Adventure,28,0.49,0.2,0,0.02,0.71
2875,Silent Hill 3,4,2003,5,21,0.35,0.27,0,0.09,0.71
2876,Madden NFL 09,13,2008,1,34,0.65,0,0,0.06,0.71
2877,Final Fantasy X/X-2 HD Remaster,10,2015,4,33,0.29,0.25,0.06,0.11,0.71
2878,Yu-Gi-Oh! The Falsebound Kingdom,GC,2002,6,21,0.49,0.13,0.07,0.02,0.71
2879,LEGO Rock Band,1,2009,Misc,24,0.42,0.22,0,0.07,0.71
2880,MLB 10: The Show,6,2010,1,20,0.66,0,0,0.05,0.71
2881,Spyro: Enter the Dragonfly,GC,2002,2,Universal Interactive,0.55,0.14,0,0.02,0.71
2882,Scooby-Doo 2: Monsters Unleashed,9,2004,5,THQ,0.51,0.19,0,0.01,0.71
2883,Power Rangers: Dino Thunder,4,2004,5,THQ,0.35,0.27,0,0.09,0.71
2884,Rhythm Heaven: The Best+,5,2015,Misc,1,0,0,0.71,0,0.71
2885,LEGO Racers,N64,1999,Racing,LEGO Media,0.51,0.18,0,0.01,0.71
2886,WWF Attitude,N64,1999,Fighting,31,0.57,0.13,0,0.01,0.71
2887,Blast Corps,N64,1997,5,1,0.39,0.09,0.17,0.06,0.71
2888,LEGO Harry Potter: Years 1-4,13,2010,5,24,0.14,0.37,0,0.19,0.71
2889,Tactics Ogre: Let Us Cling Together,7,1995,4,Quest,0,0,0.71,0,0.71
2890,"WarioWare, Inc.: Mega Party Game$",GC,2003,3,1,0.2,0.05,0.44,0.02,0.71
2891,Football Manager 2014,PC,2013,1,12,0,0.6,0,0.1,0.71
2892,Battle Arena Toshinden 2,PS,1995,Fighting,20,0.15,0.1,0.41,0.05,0.71
2893,WWE SmackDown vs. Raw 2011,13,2010,Fighting,THQ,0.22,0.31,0,0.17,0.71
2894,Jeopardy!,PS,1997,Misc,Hasbro Interactive,0.39,0.27,0,0.05,0.71
2895,South Park,PS,1998,11,31,0.39,0.27,0,0.05,0.71
2896,Metal Gear Solid V: The Phantom Pain,XOne,2015,5,21,0.37,0.26,0.01,0.06,0.71
2897,Two Worlds,8,2007,4,SouthPeak Games,0.41,0.23,0,0.07,0.71
2898,Doom 3: Resurrection of Evil,XB,2005,11,18,0.53,0.15,0,0.03,0.71
2899,NCAA Football 09,8,2008,1,34,0.65,0,0,0.05,0.71
2900,NBA Live 09,8,2008,1,34,0.5,0.14,0,0.07,0.71
2901,Ratchet & Clank: Into the Nexus,6,2013,11,20,0.3,0.29,0,0.11,0.71
2902,Spider-Man 2,13,2005,5,18,0.35,0.21,0,0.14,0.71
2903,2014 FIFA World Cup Brazil,6,2014,1,34,0.15,0.39,0.01,0.16,0.71
2904,London 2012: The Official Video Game of the Olympic Games,6,2012,1,12,0.06,0.5,0,0.15,0.7
2905,NHL 12,8,2011,1,34,0.55,0.1,0,0.05,0.7
2906,Tony Hawk's Underground,GC,2003,1,18,0.54,0.14,0,0.02,0.7
2907,Infinite Undiscovery,8,2008,4,33,0.34,0.18,0.12,0.06,0.7
2908,Super Bomberman 3,7,1994,3,Hudson Soft,0,0,0.7,0,0.7
2909,Command & Conquer: Red Alert Retaliation,PS,1998,6,7,0.39,0.27,0,0.05,0.7
2910,The Sims 2: Apartment Pets,DS,2008,Simulation,34,0.32,0.31,0,0.07,0.7
2911,Star Wars: Obi-Wan,XB,2001,5,18,0.52,0.16,0,0.02,0.7
2912,NCAA Football 08,8,2007,1,34,0.65,0,0,0.05,0.7
2913,Kill.Switch,4,2003,11,20,0.34,0.27,0,0.09,0.7
2914,Lalaloopsy,DS,2011,Simulation,18,0.54,0.1,0,0.06,0.7
2915,Madden NFL 2005,GC,2004,1,34,0.54,0.14,0,0.02,0.7
2916,F-14 Tomcat,9,2001,5,3,0.5,0.19,0,0.01,0.7
2917,SplashDown,4,2001,Racing,32,0.34,0.27,0,0.09,0.7
2918,NCAA Football 98,PS,1997,1,34,0.39,0.27,0,0.05,0.7
2919,Jade Empire,XB,2005,4,28,0.48,0.19,0,0.03,0.7
2920,"Transformers: Revenge of the Fallen (XBox 360, 6, & PC Versions)",6,2009,11,18,0.28,0.3,0,0.12,0.7
2921,The Sims 3,DS,2010,Simulation,34,0.39,0.25,0,0.06,0.7
2922,Skylanders: Trap Team,1U,2014,5,18,0.39,0.25,0,0.06,0.7
2923,Prince of Persia: The Forgotten Sands,6,2010,5,35,0.19,0.36,0.01,0.13,0.7
2924,Chocobo's Dungeon 2,PS,1998,4,SquareSoft,0.04,0.03,0.58,0.05,0.7
2925,Advance Wars,9,2001,6,1,0.5,0.19,0,0.01,0.7
2926,Hannah Montana: The Movie,DS,2009,Adventure,29,0.38,0.25,0,0.07,0.7
2927,World of Zoo,DS,2009,Simulation,THQ,0.43,0.2,0,0.06,0.7
2928,Ape Escape: On the Loose,13,2005,2,20,0.52,0.01,0.12,0.05,0.7
2929,NASCAR 2001,4,2000,22,0.34,0.27,0,0.09,0.7
2930,IL-2 Sturmovik: Birds of Prey,6,2009,Simulation,505 Games,0.34,0.26,0,0.1,0.7
2931,Book of Spells,6,2012,5,20,0.13,0.4,0,0.16,0.7
2932,NCAA Football 2001,PS,2000,1,34,0.39,0.26,0,0.05,0.7
2933,Mafia,4,2004,5,Illusion Softworks,0.34,0.27,0,0.09,0.7
2934,Mobile Suit Gundam: Journey to Jaburo,4,2000,Simulation,9,0.16,0.13,0.36,0.04,0.7
2935,Metal Gear Solid V: The Phantom Pain,6,2015,5,21,0.21,0.18,0.22,0.08,0.7
2936,TimeSplitters 2,4,2002,11,Eidos Interactive,0.34,0.27,0,0.09,0.7
2937,Motion1,8,2010,1,35,0.38,0.26,0,0.06,0.7
2938,MLB 08: The Show,6,2008,1,20,0.64,0,0,0.05,0.7
2939,Classic 2 Series: Zelda II: The Adventure of Link,9,2004,Adventure,1,0.37,0.14,0.17,0.01,0.7
2940,Fire Emblem: Monsh? no Nazo,7,1994,4,1,0,0,0.7,0,0.7
2941,Disney's Chicken Little,9,2005,2,29,0.5,0.18,0,0.01,0.7
2942,King Kong,2600,1981,5,Tigervision,0.65,0.04,0,0.01,0.69
2943,WWE 2K15,8,2014,1,26,0.38,0.26,0,0.06,0.69
2944,The LEGO Movie Videogame,5,2014,5,24,0.28,0.31,0.05,0.05,0.69
2945,X-Men Origins: Wolverine - Uncaged Edition,8,2009,5,18,0.42,0.21,0,0.06,0.69
2946,Metal Gear Solid: Portable Ops Plus,13,2007,5,21,0.26,0.01,0.26,0.17,0.69
2947,Disney Tangled,1,2010,5,29,0.47,0.17,0,0.05,0.69
2948,Shrek the Third,8,2007,5,18,0.54,0.1,0,0.06,0.69
2949,Test Drive Unlimited 2,8,N/A,Racing,32,0.3,0.32,0,0.07,0.69
2950,Moto Racer 2,PS,1997,22,0.39,0.26,0,0.05,0.69
2951,Halo 2 Multiplayer Map Pack,XB,2005,11,28,0.54,0.13,0,0.02,0.69
2952,Minecraft: Story Mode,6,2015,Adventure,Mojang,0.25,0.33,0,0.11,0.69
2953,Mortal Kombat: Shaolin Monks,4,2005,5,30,0.58,0.02,0,0.09,0.69
2954,MX vs. ATV Unleashed: On the Edge,13,2006,Racing,THQ,0.64,0,0,0.05,0.69
2955,Skylanders: Trap Team,6,2014,5,18,0.24,0.33,0,0.12,0.69
